time,angle,omega
0.770720,0.785,1.356
1.292906,1.570,1.645
1.737686,2.355,1.866
2.138683,3.140,2.050
2.506490,3.925,2.212
2.850087,4.710,2.368
3.170927,5.495,2.527
3.472584,6.280,2.684
3.756882,7.065,2.835
4.027082,7.850,2.977
4.284810,8.635,3.105
4.533120,9.420,3.223
4.772318,10.205,3.328
5.005082,10.990,3.433
5.229920,11.775,3.548
5.447782,12.560,3.660
5.659083,13.345,3.765
5.864882,14.130,3.873
6.064683,14.915,3.976
6.259882,15.700,4.074
6.450194,16.485,4.155
6.637782,17.270,4.235
6.820982,18.055,4.333
7.000204,18.840,4.427
7.175718,19.625,4.510
7.348384,20.410,4.598
7.517287,21.195,4.690
7.683210,21.980,4.777
7.845986,22.765,4.846
8.007186,23.550,4.913
8.165586,24.335,4.997
8.321399,25.120,5.077
8.474887,25.905,5.144
8.626634,26.690,5.218
8.775788,27.475,5.303
8.922708,28.260,5.386
9.067334,29.045,5.444
9.211090,29.830,5.503
9.352690,30.615,5.580
9.492490,31.400,5.651
9.630524,32.185,5.708
9.767533,32.970,5.773
